0x,0y,1x,1y,2x,2y,3x,3y,4x,4y,5x,5y,6x,6y,7x,7y,8x,8y,9x,9y,10x,10y,11x,11y,12x,12y,13x,13y,14x,14y,15x,15y,16x,16y,17x,17y,18x,18y,19x,19y,20x,20y,21x,21y,22x,22y,23x,23y,24x,24y
998.306,227.254,998.151,341.98,912.882,341.941,842.281,436.136,836.462,430.263,1071.9,342.019,1113,403.758,1133.62,436.019,983.504,580.345,933.57,580.319,909.944,765.707,883.421,951.168,1030.63,580.319,1048.32,774.552,1068.74,971.706,977.815,218.289,1018.83,221.157,954.118,235.962,1039.42,244.649,1095.4,1024.84,1113,1018.79,1048.37,977.814,821.634,998.161,818.678,980.574,895.269,965.917
998.305,227.192,995.333,341.972,912.873,341.96,856.922,433.213,836.531,459.652,1071.78,341.969,1098.37,392.015,1124.86,436.112,980.673,580.351,933.545,580.303,910.044,765.755,883.423,951.21,1027.8,580.342,1048.31,774.525,1068.74,968.876,980.547,218.213,1018.82,221.11,954.122,233.017,1039.46,241.864,1095.38,1024.81,1112.97,1015.97,1048.38,977.779,824.638,998.13,821.617,980.545,895.291,968.785
998.244,227.192,998.104,341.978,915.806,341.927,862.829,433.124,836.462,477.326,1071.8,342.009,1098.32,409.5,1130.73,456.724,977.813,577.46,930.687,577.421,909.989,765.777,883.434,951.159,1024.88,577.468,1048.26,771.627,1066.02,968.809,977.79,215.36,1018.78,221.079,954.12,230.113,1039.4,241.807,1095.39,1024.78,1112.99,1015.92,1048.34,977.744,824.58,998.135,818.76,980.558,898.142,965.903
998.244,227.192,998.104,341.978,915.806,341.927,862.829,433.124,836.462,477.326,1071.8,342.009,1098.32,409.5,1130.73,456.724,977.813,577.46,930.687,577.421,909.989,765.777,883.434,951.159,1024.88,577.468,1048.26,771.627,1066.02,968.809,977.79,215.36,1018.78,221.079,954.12,230.113,1039.4,241.807,1095.39,1024.78,1112.99,1015.92,1048.34,977.744,824.58,998.135,818.76,980.558,898.142,965.903
998.241,227.141,995.333,341.997,915.808,341.947,871.726,427.293,836.275,494.973,1069.02,342.062,1098.29,412.611,1133.58,480.251,983.562,577.425,939.363,577.363,909.969,765.75,883.425,951.179,1027.8,577.432,1048.29,768.692,1068.76,971.697,977.774,218.193,1018.75,221.078,954.106,230.088,1036.57,241.795,1095.39,1024.78,1112.98,1015.92,1048.41,977.805,824.558,998.135,818.73,980.557,895.294,965.93
998.226,224.345,995.264,342.079,910.07,342.039,877.478,433.189,833.531,512.603,1071.73,344.896,1098.39,427.221,1133.6,500.848,980.65,577.469,936.484,577.359,909.911,765.734,883.402,951.212,1024.87,580.29,1048.26,768.752,1068.74,971.707,977.75,212.448,1018.76,218.295,954.095,230.057,1036.49,241.763,1095.34,1024.78,1110.14,1015.92,1048.36,977.807,821.694,998.109,818.749,977.792,895.27,968.786
998.151,224.292,995.288,344.828,909.994,344.882,877.509,442.017,833.544,530.205,1071.84,344.832,1098.39,433.141,1133.63,512.626,980.668,580.335,933.614,577.451,909.965,765.795,883.439,951.181,1027.7,580.33,1048.27,771.614,1068.74,971.766,977.658,212.439,1015.94,218.253,954.033,230.12,1036.47,241.779,1095.41,1024.84,1113.01,1018.77,1048.38,980.584,821.659,998.145,818.702,980.576,898.172,965.919
998.112,224.183,995.203,344.857,907.122,344.903,877.591,453.813,833.517,547.982,1071.8,344.87,1098.4,436.169,1133.71,530.366,983.614,580.371,936.519,580.356,909.922,765.75,883.411,951.115,1030.72,580.316,1048.3,774.617,1068.73,971.804,977.621,209.514,1015.93,215.362,954.025,233.017,1033.64,241.749,1095.37,1024.8,1112.98,1018.76,1048.34,980.647,824.565,998.165,818.716,980.583,898.124,965.84
995.354,224.087,992.412,344.917,907.037,344.947,877.516,459.724,836.282,562.622,1071.79,344.93,1098.33,447.844,1133.66,550.754,986.458,580.393,939.419,580.348,909.995,765.708,883.403,951.13,1030.68,580.384,1048.27,774.578,1066,971.722,977.576,206.556,1015.9,212.438,951.309,227.235,1033.53,238.933,1095.32,1024.74,1110.15,1015.89,1048.33,977.815,824.656,998.139,818.769,980.558,895.274,965.897
1001.08,221.359,998.284,350.733,912.898,344.902,880.574,480.162,839.323,597.966,1083.57,359.563,1104.24,483.134,1118.99,600.922,980.688,595.035,936.404,592.13,912.968,768.769,883.41,951.157,1030.63,594.979,1048.42,780.479,1068.73,971.734,980.62,203.626,1021.75,206.574,957.095,224.213,1045.34,233.007,1092.52,1024.81,1110.08,1015.95,1048.39,980.587,824.617,998.268,818.761,980.689,895.216,962.991
