sensor,9y
0.039215686,232.757
0.039215686,234.075
0.019607843,231.476
0.019607843,232.768
0.039215686,231.48
0.039215686,230.146
0.078431373,231.465
0.117647059,232.784
0.235294118,236.68
0.352941176,232.779
0.843137255,240.61
0.980392157,241.917
1.039215686,251.061
1.058823529,258.86
1.058823529,270.6
1.078431373,273.239
1.058823529,284.994
1.058823529,317.561
1.078431373,311.045
1.078431373,318.892
1.078431373,337.154
1.078431373,339.793
1.058823529,351.5
1.078431373,356.708
1.078431373,361.969
1.078431373,367.19
1.058823529,371.081
1.058823529,368.472
1.078431373,369.133
1.078431373,369.794
0.941176471,360.628
0.862745098,356.738
0.764705882,352.813
0.549019608,342.409
0.117647059,343.701
0.078431373,324.092
0.078431373,314.977
0.058823529,294.077
0.039215686,279.761
0.039215686,275.853
0.039215686,271.944
0.039215686,254.972
0.039215686,249.738
0.039215686,235.384
0.039215686,232.77
0.058823529,232.762
0.039215686,231.449
0.039215686,228.88
0.078431373,231.486
0.137254902,232.793
0.509803922,234.094
0.725490196,235.395
0.901960784,236.695
1.019607843,239.288
1.058823529,237.982
1.078431373,235.362
1.078431373,235.369
1.098039216,239.315
1.078431373,245.837
1.078431373,257.577
1.098039216,264.097
1.098039216,269.971
1.098039216,275.844
1.078431373,279.742
1.098039216,288.906
1.078431373,303.263
1.098039216,318.886
1.098039216,337.186
1.098039216,341.089
1.078431373,347.571
1.078431373,352.845
1.098039216,356.762
1.078431373,359.36
1.078431373,359.363
0.784313725,359.365
0.490196078,351.528
0.274509804,356.751
0.156862745,360.625
0.058823529,363.265
0.039215686,350.215
0.058823529,343.675
0.039215686,338.482
0.039215686,328.038
0.039215686,303.23
0.058823529,298.658
0.039215686,294.086
0.019607843,281.04
0.039215686,271.92
0.039215686,261.507
0.039215686,251.032
0.039215686,247.144
0.058823529,238.006
0.098039216,235.364
0.156862745,241.912
0.607843137,240.588
0.803921569,239.951
0.960784314,239.314
1.039215686,238.013
1.098039216,238.005
1.078431373,235.373
1.098039216,232.796
1.098039216,237.996
1.078431373,245.813
1.098039216,248.406
1.078431373,256.253
1.117647059,262.776
1.117647059,267.351
1.117647059,271.925
1.117647059,275.853
1.117647059,287.567
1.098039216,301.932
1.098039216,308.427
1.117647059,324.128
1.098039216,331.938
1.098039216,343.704
1.098039216,352.796
1.098039216,355.443
1.078431373,346.324
0.823529412,358.074
0.62745098,356.748
0.31372549,358.043
0.215686275,360.634
0.039215686,356.758
0.058823529,343.676
0.058823529,341.062
0.058823529,328.007
0.058823529,324.1
0.039215686,303.239
0.039215686,298.674
0.039215686,294.109
0.039215686,281.08
0.058823529,270.641
0.058823529,266.709
0.058823529,254.966
0.196078431,249.733
0.333333333,236.694
0.529411765,234.093
0.725490196,232.791
1.058823529,232.764
1.078431373,234.065
1.098039216,235.365
1.098039216,235.403
1.117647059,236.7
1.098039216,239.287
1.117647059,239.302
1.098039216,238.012
1.098039216,244.517
1.117647059,247.137
1.117647059,256.248
1.098039216,262.798
1.098039216,271.26
1.117647059,279.723
1.098039216,281.049
1.117647059,296.741
1.117647059,307.131
1.117647059,322.824
1.117647059,333.259
