lh,rh,ls,rs,w,ll,rl,0x,0y,1x,1y,2x,2y,3x,3y,4x,4y,5x,5y,6x,6y,7x,7y,8x,8y,9x,9y,10x,10y,11x,11y,12x,12y,13x,13y,14x,14y,15x,15y,16x,16y,17x,17y,18x,18y,19x,19y,20x,20y,21x,21y,22x,22y,23x,23y,24x,24y
351,342,5236,2914,522,14952,21424,998.297,356.625,1001.1,453.68,912.973,450.82,883.54,577.505,856.982,701.009,1089.41,456.604,1112.97,580.292,1124.8,697.994,995.271,656.841,939.381,650.943,883.47,789.27,886.386,954.047,1045.44,662.755,1083.59,812.959,1065.84,960.04,977.74,336.029,1018.86,338.816,951.284,324.25,1045.39,330.188,1089.4,1024.74,1098.43,1015.86,1045.36,971.759,856.966,1012.94,842.234,998.304,903.976,960.023
343,330,5176,2869,519,14521,21381,995.248,250.756,995.327,383.171,907.036,383.078,865.87,509.653,830.462,627.448,1074.89,385.997,1110.09,506.802,1136.58,624.621,980.636,621.58,927.738,618.604,883.556,786.327,886.434,951.206,1039.49,624.443,1068.93,792.294,1063.06,962.947,974.76,235.941,1013,241.756,951.066,250.676,1033.57,259.452,1089.45,1024.73,1101.25,1015.86,1048.19,974.708,856.99,1009.99,842.258,998.213,903.979,957.074
342,312,5990,2812,520,15790,21404,992.385,244.764,995.248,371.318,906.948,368.445,865.84,503.875,830.524,621.539,1074.76,371.414,1107.18,500.817,1136.64,621.498,980.559,615.589,927.716,606.845,886.404,783.43,886.458,951.17,1036.52,618.538,1068.83,792.27,1065.86,965.853,974.773,224.189,1013.01,227.151,951.126,244.781,1033.59,250.724,1089.41,1024.67,1101.24,1012.94,1048.24,974.764,857.003,1004.22,842.242,995.306,903.961,957.103
345,300,4877,2828,519,13287,21473,992.355,238.828,995.233,365.423,906.946,365.457,865.88,497.905,830.533,612.702,1074.78,365.512,1107.19,486.219,1136.58,612.68,980.608,603.887,927.666,600.973,889.423,783.375,886.494,951.129,1039.47,606.803,1065.99,789.403,1065.84,962.94,974.728,221.153,1010,221.317,951.093,235.967,1030.64,244.783,1086.55,1024.64,1098.4,1010.06,1048.23,974.704,857.048,1004.17,842.253,995.24,903.965,957.023
333,286,5133,2818,519,14618,21528,995.191,227.229,995.332,362.432,907.048,362.435,868.755,486.248,833.27,603.936,1074.89,362.517,1107.16,483.147,1136.65,600.997,977.806,603.918,927.678,601.03,901.025,774.593,886.531,951.105,1033.58,606.806,1063.01,789.242,1065.88,962.957,974.744,215.362,1010.08,218.322,951.145,227.249,1030.63,238.931,1089.42,1024.74,1098.45,1013.01,1048.24,974.767,857.051,1004.26,842.263,995.327,903.961,954.231
333,288,7264,2848,513,14945,21288,992.404,224.15,995.289,356.613,907,350.773,871.731,480.316,830.553,600.805,1074.77,359.536,1107.15,480.185,1136.58,600.806,977.794,603.856,927.734,600.95,901.184,768.778,886.501,951.081,1030.66,603.903,1060.03,786.342,1065.9,962.979,974.73,203.666,1012.94,209.48,951.131,224.196,1030.71,232.975,1086.53,1021.89,1101.23,1010.04,1048.3,974.804,857.053,1007.12,839.416,998.159,901.187,954.242
333,317,8263,2882,503,15080,21422,992.4,221.235,995.287,350.748,906.938,347.788,871.675,480.169,830.504,597.983,1074.79,353.685,1104.22,477.193,1133.71,597.999,977.703,601.009,927.652,600.957,903.999,777.507,889.386,951.1,1027.81,600.967,1054.13,783.444,1065.88,965.903,974.773,200.711,1012.98,203.646,951.177,224.071,1033.55,230.038,1089.47,1024.7,1101.35,1012.98,1048.28,977.627,857.014,1007.16,839.413,998.172,904.02,957.003
336,358,7222,2947,482,15684,21519,992.431,218.294,995.203,347.794,904.182,344.958,868.815,480.123,830.548,597.85,1074.74,350.701,1104.27,468.467,1133.69,595.018,977.643,595.022,927.625,594.954,906.935,765.742,889.4,951.111,1027.68,595.02,1051.28,783.448,1065.87,965.919,974.805,200.536,1015.84,200.767,951.13,221.235,1030.66,227.184,1086.58,1021.89,1098.43,1010.06,1048.36,977.59,856.965,1007.13,842.217,998.149,904.036,957.036
341,396,6938,2953,465,8863,21408,992.372,218.238,992.404,344.942,904.162,344.931,868.765,480.099,830.477,594.93,1074.76,347.765,1101.31,465.601,1136.49,592.077,977.728,597.886,927.702,595.061,904.185,765.648,889.365,951.203,1027.76,597.89,1048.44,786.215,1065.94,968.822,974.77,197.826,1012.96,200.678,951.132,221.132,1030.65,224.315,1083.6,1021.84,1098.34,1010.01,1048.44,977.669,856.991,1007.08,842.259,995.356,904.035,957.161
349,414,7363,2946,452,9074,21485,992.379,215.378,992.382,344.829,904.187,344.9,868.745,477.283,830.501,592.109,1071.98,344.832,1101.3,465.571,1133.68,589.093,983.588,597.881,930.671,595.003,906.906,768.668,889.362,951.217,1039.51,595.078,1048.38,783.455,1065.94,971.718,974.782,197.77,1010.06,200.611,951.14,221.081,1030.61,224.257,1083.61,1021.84,1098.36,1010.03,1048.39,977.789,856.952,1007.09,839.409,995.35,904.066,959.984
